concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
slow,745733,20080,8
notes,745373,1571,10
rank,745329,35045,23
jar,745124,31150,1
wing,744078,45387,2
saw,743411,25413,50
sink,742861,11279,2
power,742278,25080,331
biography,742089,3337,2
local,741050,8467,8
form,740773,35776,126
pink,740754,11781,3
five,739071,44127,25
tied,738049,7765,5
singled,736985,34000,1
kill,735626,40307,12
write,733713,29735,71
sale,733308,12577,28
side,732805,8470,83
david,729547,54570,2
francs,727271,33564,2
detail,725967,912,11
far,725405,17954,260
writes,725355,7985,8
issue,722846,2778,89
story,721973,20831,103
stated,720783,201322,68
tide,720676,8994,26
section,718577,100598,80
third,715958,7063,13
filed,715473,22280,10
rather,715457,3635,27
due,714085,12497,41
lull,713927,10036,1
region,713546,14207,7
around,712352,12452,14
tree,712121,30139,10
heal,711138,16205,2
office,710775,18196,161
resident,708487,23962,9
fiend,707887,19647,1
living,706994,7490,168
present,705326,5471,289
club,705297,30478,40
describes,705265,134,1
describe,705237,226,4
received,705200,4839,144
college,699408,46012,50
government,699093,13510,254
within,698667,1300,35
tarried,696552,5540,2
london,695495,16781,69
ring,695316,33663,3
began,694368,1195,54
greed,694239,29675,1
hire,690854,18514,3
diet,690679,5603,1
footnote,689472,76,1
another,688613,4939,73
service,688223,18919,172
members,688081,10623,415
prayer,685110,12799,19
heeded,683925,3854,1
information,683464,7183,53
sent,682480,11176,222
carried,682244,5213,131
major,679659,14379,4
block,679280,34039,3
weight,678885,21560,7
film,678463,118397,2
says,678098,8704,80
guilt,677751,3857,2
built,677102,1951,32
great,676129,21165,80
pale,676036,12751,2
reading,675506,5097,31
wards,675135,23991,1
rounded,674025,1956,1
river,672752,84418,13
sir,671938,51031,5
described,671771,145,23
director,671044,7187,50
died,669672,5444,37
taking,667060,3372,65
bounded,667023,1743,1
record,666122,17006,99
create,665253,1151,22
populations,664925,2812,1
height,664916,19358,8
mood,663369,24694,3
role,663248,10588,8
loving,660741,8647,4
fell,659886,19146,10
plates,659259,15035,1
sounded,658935,2002,2
said,657286,5879,435
wounded,656557,2152,3
final,656531,13037,1
wipe,655491,9115,6
sports,654488,17928,2
fill,654438,124633,19
summons,653984,3026,3
em,652408,33847,3
party,649391,33290,173
givin,647892,5359,1
next,647262,5139,22
quilt,646953,2927,1
white,645855,25460,46
gain,645122,5801,16
mule,644482,6228,1
wept,644412,45165,1
population,644100,3131,27
print,643547,16467,7
feather,643369,8491,1
hand,642788,42631,129
let,642224,34452,72
sit,642155,14834,49
still,641441,4771,142
point,638563,20202,187
single,638017,34371,14
features,638013,4289,1
children,637344,7627,441
prance,636295,34230,1
tell,635780,21744,121
william,635343,81605,2
pray,634886,15754,11
ascribed,633961,237,1
educating,633404,11881,2
divisions,632200,42063,2
sing,630726,39679,20
planes,629531,27099,1
road,629464,48551,18
background,629115,354,6
inscribed,628596,108,3
cio,628277,4481,1
education,627998,14161,222
link,627712,33710,1
mark,627531,37307,9
total,627097,2653,15
original,625919,6709,2
